Bidding Exercise,Announcement Date,Year,Category,Quota,Total Bids Received,Number of Successful Bids,Unnamed: 8,Unnamed: 9,Unnamed: 10,Unnamed: 11,Unnamed: 12,Unnamed: 13,Unnamed: 14,Unnamed: 15,Unnamed: 16,Unnamed: 17,Unnamed: 18
October 2007 Second Open Bidding Exercise,2007-10-15,2007,Cat A (Cars up to 1600cc and 97kW),2158,2472,2158,,,,,,,,,,,
November 2007 First Open Bidding Exercise,2007-11-01,2007,Cat A (Cars up to 1600cc and 97kW),2164,3040,2149,,,,,,,,,,,
November 2007 Second Open Bidding Exercise,2007-11-15,2007,Cat A (Cars up to 1600cc and 97kW),2158,2450,2154,,,,,,,,,,,
December 2007 First Open Bidding Exercise,2007-12-01,2007,Cat A (Cars up to 1600cc and 97kW),2174,2373,2171,,,,,,,,,,,
December 2007 Second Open Bidding Exercise,2007-12-15,2007,Cat A (Cars up to 1600cc and 97kW),2162,2588,2089,,,,,,,,,,,
January 2008 First Open Bidding Exercise,2008-01-09,2008,Cat A (Cars up to 1600cc and 97kW),2162,2553,2154,,,,,,,,,,,
January 2008 Second Open Bidding Exercise,2008-01-23,2008,Cat A (Cars up to 1600cc and 97kW),2231,2611,2098,,,,,,,,,,,
February 2008 First Open Bidding Exercise,2008-02-05,2008,Cat A (Cars up to 1600cc and 97kW),2167,3005,2155,,,,,,,,,,,
February 2008 Second Open Bidding Exercise,2008-02-20,2008,Cat A (Cars up to 1600cc and 97kW),2291,2923,2288,,,,,,,,,,,
March 2008 First Open Bidding Exercise,2008-03-05,2008,Cat A (Cars up to 1600cc and 97kW),2171,2727,2164,,,,,,,,,,,
March 2008 Second Open Bidding Exercise,2008-03-19,2008,Cat A (Cars up to 1600cc and 97kW),2161,2474,2161,,,,,,,,,,,
April 2008 First Open Bidding Exercise,2008-04-09,2008,Cat A (Cars up to 1600cc and 97kW),2043,2570,2026,,,,,,,,,,,
April 2008 Second Open Bidding Exercise,2008-04-23,2008,Cat A (Cars up to 1600cc and 97kW),2036,2197,2009,,,,,,,,,,,
May 2008 First Open Bidding Exercise,2008-05-07,2008,Cat A (Cars up to 1600cc and 97kW),2053,2211,2051,,,,,,,,,,,
May 2008 Second Open Bidding Exercise,2008-05-22,2008,Cat A (Cars up to 1600cc and 97kW),2063,2824,2062,,,,,,,,,,,
June 2008 First Open Bidding Exercise,2008-06-04,2008,Cat A (Cars up to 1600cc and 97kW),2038,2500,2038,,,,,,,,,,,
June 2008 Second Open Bidding Exercise,2008-06-18,2008,Cat A (Cars up to 1600cc and 97kW),2037,2319,2024,,,,,,,,,,,
July 2008 First Open Bidding Exercise,2008-07-09,2008,Cat A (Cars up to 1600cc and 97kW),2036,2463,2036,,,,,,,,,,,
July 2008 Second Open Bidding Exercise,2008-07-23,2008,Cat A (Cars up to 1600cc and 97kW),2048,2464,2047,,,,,,,,,,,
August 2008 First Open Bidding Exercise,2008-08-06,2008,Cat A (Cars up to 1600cc and 97kW),2035,2267,2032,,,,,,,,,,,
August 2008 Second Open Bidding Exercise,2008-08-20,2008,Cat A (Cars up to 1600cc and 97kW),2036,2318,2036,,,,,,,,,,,
September 2008 First Open Bidding Exercise,2008-09-03,2008,Cat A (Cars up to 1600cc and 97kW),2038,2172,2022,,,,,,,,,,,
September 2008 Second Open Bidding Exercise,2008-09-17,2008,Cat A (Cars up to 1600cc and 97kW),2035,2765,2029,,,,,,,,,,,
October 2008 First Open Bidding Exercise,2008-10-08,2008,Cat A (Cars up to 1600cc and 97kW),1856,2320,1848,,,,,,,,,,,
October 2008 Second Open Bidding Exercise,2008-10-22,2008,Cat A (Cars up to 1600cc and 97kW),1846,2149,1835,,,,,,,,,,,
November 2008 First Open Bidding Exercise,2008-11-05,2008,Cat A (Cars up to 1600cc and 97kW),1848,2049,1848,,,,,,,,,,,
November 2008 Second Open Bidding Exercise,2008-11-19,2008,Cat A (Cars up to 1600cc and 97kW),1851,1852,1840,,,,,,,,,,,
December 2008 First Open Bidding Exercise,2008-12-03,2008,Cat A (Cars up to 1600cc and 97kW),1840,3149,1840,,,,,,,,,,,
December 2008 Second Open Bidding Exercise,2008-12-17,2008,Cat A (Cars up to 1600cc and 97kW),1851,2788,1851,,,,,,,,,,,
January 2009 First Open Bidding Exercise,2009-01-07,2009,Cat A (Cars up to 1600cc and 97kW),1839,2541,1784,,,,,,,,,,,
January 2009 Second Open Bidding Exercise,2009-01-21,2009,Cat A (Cars up to 1600cc and 97kW),1839,2109,1832,,,,,,,,,,,
February 2009 First Open Bidding Exercise,2009-02-04,2009,Cat A (Cars up to 1600cc and 97kW),1894,2077,1894,,,,,,,,,,,
February 2009 Second Open Bidding Exercise,2009-02-18,2009,Cat A (Cars up to 1600cc and 97kW),1846,2722,1842,,,,,,,,,,,
March 2009 First Open Bidding Exercise,2009-03-04,2009,Cat A (Cars up to 1600cc and 97kW),1839,2376,1839,,,,,,,,,,,
March 2009 Second Open Bidding Exercise,2009-03-18,2009,Cat A (Cars up to 1600cc and 97kW),1843,2202,1843,,,,,,,,,,,
April 2009 First Open Bidding Exercise,2009-04-08,2009,Cat A (Cars up to 1600cc and 97kW),1396,2026,1396,,,,,,,,,,,
April 2009 Second Open Bidding Exercise,2009-04-22,2009,Cat A (Cars up to 1600cc and 97kW),1396,1906,1390,,,,,,,,,,,
May 2009 First Open Bidding Exercise,2009-05-06,2009,Cat A (Cars up to 1600cc and 97kW),1396,2037,1391,,,,,,,,,,,
May 2009 Second Open Bidding Exercise,2009-05-20,2009,Cat A (Cars up to 1600cc and 97kW),1402,1999,1383,,,,,,,,,,,
June 2009 First Open Bidding Exercise,2009-06-03,2009,Cat A (Cars up to 1600cc and 97kW),1401,1967,1391,,,,,,,,,,,
June 2009 Second Open Bidding Exercise,2009-06-17,2009,Cat A (Cars up to 1600cc and 97kW),1415,1735,1402,,,,,,,,,,,
July 2009 First Open Bidding Exercise,2009-07-08,2009,Cat A (Cars up to 1600cc and 97kW),1405,1655,1405,,,,,,,,,,,
July 2009 Second Open Bidding Exercise,2009-07-22,2009,Cat A (Cars up to 1600cc and 97kW),1408,1603,1408,,,,,,,,,,,
August 2009 First Open Bidding Exercise,2009-08-05,2009,Cat A (Cars up to 1600cc and 97kW),1395,1558,1395,,,,,,,,,,,
August 2009 Second Open Bidding Exercise,2009-08-19,2009,Cat A (Cars up to 1600cc and 97kW),1395,1567,1387,,,,,,,,,,,
September 2009 First Open Bidding Exercise,2009-09-09,2009,Cat A (Cars up to 1600cc and 97kW),1395,1844,1391,,,,,,,,,,,
September 2009 Second Open Bidding Exercise,2009-09-24,2009,Cat A (Cars up to 1600cc and 97kW),1403,1527,1400,,,,,,,,,,,
October 2009 First Open Bidding Exercise,2009-10-07,2009,Cat A (Cars up to 1600cc and 97kW),1151,1392,1072,,,,,,,,,,,
October 2009 Second Open Bidding Exercise,2009-10-21,2009,Cat A (Cars up to 1600cc and 97kW),1149,1544,1149,,,,,,,,,,,
November 2009 First Open Bidding Exercise,2009-11-04,2009,Cat A (Cars up to 1600cc and 97kW),1226,1395,1222,,,,,,,,,,,
November 2009 Second Open Bidding Exercise,2009-11-18,2009,Cat A (Cars up to 1600cc and 97kW),1146,1261,1142,,,,,,,,,,,
December 2009 First Open Bidding Exercise,2009-12-09,2009,Cat A (Cars up to 1600cc and 97kW),1151,1658,1146,,,,,,,,,,,
December 2009 Second Open Bidding Exercise,2009-12-23,2009,Cat A (Cars up to 1600cc and 97kW),1150,1465,1145,,,,,,,,,,,
January 2010 First Open Bidding Exercise,2010-01-06,2010,Cat A (Cars up to 1600cc and 97kW),1152,1342,1145,,,,,,,,,,,
January 2010 Second Open Bidding Exercise,2010-01-20,2010,Cat A (Cars up to 1600cc and 97kW),1151,1673,1149,,,,,,,,,,,
February 2010 First Open Bidding Exercise,2010-02-03,2010,Cat A (Cars up to 1600cc and 97kW),1154,1326,1153,,,,,,,,,,,
February 2010 Second Open Bidding Exercise,2010-02-24,2010,Cat A (Cars up to 1600cc and 97kW),1148,1493,1148,,,,,,,,,,,
March 2010 First Open Bidding Exercise,2010-03-10,2010,Cat A (Cars up to 1600cc and 97kW),1148,1758,1141,,,,,,,,,,,
March 2010 Second Open Bidding Exercise,2010-03-24,2010,Cat A (Cars up to 1600cc and 97kW),1146,2183,1137,,,,,,,,,,,
April 2010 First Open Bidding Exercise,2010-04-07,2010,Cat A (Cars up to 1600cc and 97kW),705,1379,597,,,,,,,,,,,
April 2010 Second Open Bidding Exercise,2010-04-21,2010,Cat A (Cars up to 1600cc and 97kW),706,1242,704,,,,,,,,,,,
May 2010 First Open Bidding Exercise,2010-05-05,2010,Cat A (Cars up to 1600cc and 97kW),806,1294,798,,,,,,,,,,,
May 2010 Second Open Bidding Exercise,2010-05-19,2010,Cat A (Cars up to 1600cc and 97kW),699,1036,697,,,,,,,,,,,
June 2010 First Open Bidding Exercise,2010-06-09,2010,Cat A (Cars up to 1600cc and 97kW),706,1107,704,,,,,,,,,,,
June 2010 Second Open Bidding Exercise,2010-06-23,2010,Cat A (Cars up to 1600cc and 97kW),699,902,697,,,,,,,,,,,
July 2010 First Open Bidding Exercise,2010-07-07,2010,Cat A (Cars up to 1600cc and 97kW),700,893,676,,,,,,,,,,,
July 2010 Second Open Bidding Exercise,2010-07-21,2010,Cat A (Cars up to 1600cc and 97kW),699,967,691,,,,,,,,,,,
August 2010 First Open Bidding Exercise,2010-08-04,2010,Cat A (Cars up to 1600cc and 97kW),622,786,589,,,,,,,,,,,
August 2010 Second Open Bidding Exercise,2010-08-18,2010,Cat A (Cars up to 1600cc and 97kW),606,975,606,,,,,,,,,,,
September 2010 First Open Bidding Exercise,2010-09-08,2010,Cat A (Cars up to 1600cc and 97kW),631,775,628,,,,,,,,,,,
September 2010 Second Open Bidding Exercise,2010-09-22,2010,Cat A (Cars up to 1600cc and 97kW),597,993,547,,,,,,,,,,,
October 2010 First Open Bidding Exercise,2010-10-06,2010,Cat A (Cars up to 1600cc and 97kW),601,722,601,,,,,,,,,,,
October 2010 Second Open Bidding Exercise,2010-10-20,2010,Cat A (Cars up to 1600cc and 97kW),647,817,647,,,,,,,,,,,
November 2010 First Open Bidding Exercise,2010-11-03,2010,Cat A (Cars up to 1600cc and 97kW),598,843,598,,,,,,,,,,,
November 2010 Second Open Bidding Exercise,2010-11-18,2010,Cat A (Cars up to 1600cc and 97kW),597,833,577,,,,,,,,,,,
December 2010 First Open Bidding Exercise,2010-12-08,2010,Cat A (Cars up to 1600cc and 97kW),598,1020,582,,,,,,,,,,,
December 2010 Second Open Bidding Exercise,2010-12-22,2010,Cat A (Cars up to 1600cc and 97kW),617,755,607,,,,,,,,,,,
January 2011 First Open Bidding Exercise,2011-01-05,2011,Cat A (Cars up to 1600cc and 97kW),614,1192,602,,,,,,,,,,,
January 2011 Second Open Bidding Exercise,2011-01-19,2011,Cat A (Cars up to 1600cc and 97kW),607,1091,606,,,,,,,,,,,
February 2011 First Open Bidding Exercise,2011-02-09,2011,Cat A (Cars up to 1600cc and 97kW),523,1146,501,,,,,,,,,,,
February 2011 Second Open Bidding Exercise,2011-02-23,2011,Cat A (Cars up to 1600cc and 97kW),511,788,494,,,,,,,,,,,
March 2011 First Open Bidding Exercise,2011-03-09,2011,Cat A (Cars up to 1600cc and 97kW),532,875,530,,,,,,,,,,,
March 2011 Second Open Bidding Exercise,2011-03-23,2011,Cat A (Cars up to 1600cc and 97kW),527,927,472,,,,,,,,,,,
April 2011 First Open Bidding Exercise,2011-04-06,2011,Cat A (Cars up to 1600cc and 97kW),512,813,511,,,,,,,,,,,
April 2011 Second Open Bidding Exercise,2011-04-20,2011,Cat A (Cars up to 1600cc and 97kW),565,964,552,,,,,,,,,,,
May 2011 First Open Bidding Exercise,2011-05-05,2011,Cat A (Cars up to 1600cc and 97kW),511,944,511,,,,,,,,,,,
May 2011 Second Open Bidding Exercise,2011-05-19,2011,Cat A (Cars up to 1600cc and 97kW),523,760,521,,,,,,,,,,,
June 2011 First Open Bidding Exercise,2011-06-08,2011,Cat A (Cars up to 1600cc and 97kW),510,880,506,,,,,,,,,,,
June 2011 Second Open Bidding Exercise,2011-06-22,2011,Cat A (Cars up to 1600cc and 97kW),512,715,512,,,,,,,,,,,
July 2011 First Open Bidding Exercise,2011-07-06,2011,Cat A (Cars up to 1600cc and 97kW),514,839,497,,,,,,,,,,,
July 2011 Second Open Bidding Exercise,2011-07-20,2011,Cat A (Cars up to 1600cc and 97kW),510,776,501,,,,,,,,,,,
August 2011 First Open Bidding Exercise,2011-08-03,2011,Cat A (Cars up to 1600cc and 97kW),566,1034,566,,,,,,,,,,,
August 2011 Second Open Bidding Exercise,2011-08-17,2011,Cat A (Cars up to 1600cc and 97kW),557,927,557,,,,,,,,,,,
September 2011 First Open Bidding Exercise,2011-09-07,2011,Cat A (Cars up to 1600cc and 97kW),548,794,547,,,,,,,,,,,
September 2011 Second Open Bidding Exercise,2011-09-21,2011,Cat A (Cars up to 1600cc and 97kW),548,951,531,,,,,,,,,,,
October 2011 First Open Bidding Exercise,2011-10-05,2011,Cat A (Cars up to 1600cc and 97kW),549,793,549,,,,,,,,,,,
October 2011 Second Open Bidding Exercise,2011-10-19,2011,Cat A (Cars up to 1600cc and 97kW),565,873,554,,,,,,,,,,,
November 2011 First Open Bidding Exercise,2011-11-10,2011,Cat A (Cars up to 1600cc and 97kW),548,766,547,,,,,,,,,,,
November 2011 Second Open Bidding Exercise,2011-11-23,2011,Cat A (Cars up to 1600cc and 97kW),559,756,541,,,,,,,,,,,
December 2011 First Open Bidding Exercise,2011-12-07,2011,Cat A (Cars up to 1600cc and 97kW),549,781,543,,,,,,,,,,,
December 2011 Second Open Bidding Exercise,2011-12-21,2011,Cat A (Cars up to 1600cc and 97kW),566,878,457,,,,,,,,,,,
January 2012 First Open Bidding Exercise,2012-01-05,2012,Cat A (Cars up to 1600cc and 97kW),554,901,554,,,,,,,,,,,
January 2012 Second Open Bidding Exercise,2012-01-18,2012,Cat A (Cars up to 1600cc and 97kW),657,903,652,,,,,,,,,,,
February 2012 First Open Bidding Exercise,2012-02-08,2012,Cat A (Cars up to 1600cc and 97kW),619,1058,571,,,,,,,,,,,
February 2012 Second Open Bidding Exercise,2012-02-22,2012,Cat A (Cars up to 1600cc and 97kW),624,1017,607,,,,,,,,,,,
March 2012 First Open Bidding Exercise,2012-03-07,2012,Cat A (Cars up to 1600cc and 97kW),667,912,649,,,,,,,,,,,
March 2012 Second Open Bidding Exercise,2012-03-21,2012,Cat A (Cars up to 1600cc and 97kW),636,1067,626,,,,,,,,,,,
April 2012 First Open Bidding Exercise,2012-04-04,2012,Cat A (Cars up to 1600cc and 97kW),637,960,615,,,,,,,,,,,
April 2012 Second Open Bidding Exercise,2012-04-18,2012,Cat A (Cars up to 1600cc and 97kW),629,1011,618,,,,,,,,,,,
May 2012 First Open Bidding Exercise,2012-05-09,2012,Cat A (Cars up to 1600cc and 97kW),641,822,593,,,,,,,,,,,
May 2012 Second Open Bidding Exercise,2012-05-23,2012,Cat A (Cars up to 1600cc and 97kW),630,945,617,,,,,,,,,,,
June 2012 First Open Bidding Exercise,2012-06-06,2012,Cat A (Cars up to 1600cc and 97kW),668,1004,647,,,,,,,,,,,
June 2012 Second Open Bidding Exercise,2012-06-20,2012,Cat A (Cars up to 1600cc and 97kW),633,920,577,,,,,,,,,,,
July 2012 First Open Bidding Exercise,2012-07-04,2012,Cat A (Cars up to 1600cc and 97kW),641,872,613,,,,,,,,,,,
July 2012 Second Open Bidding Exercise,2012-07-18,2012,Cat A (Cars up to 1600cc and 97kW),676,911,669,,,,,,,,,,,
August 2012 First Open Bidding Exercise,2012-08-08,2012,Cat A (Cars up to 1600cc and 97kW),421,724,415,,,,,,,,,,,
August 2012 Second Open Bidding Exercise,2012-08-23,2012,Cat A (Cars up to 1600cc and 97kW),400,530,391,,,,,,,,,,,
September 2012 First Open Bidding Exercise,2012-09-05,2012,Cat A (Cars up to 1600cc and 97kW),399,518,391,,,,,,,,,,,
September 2012 Second Open Bidding Exercise,2012-09-19,2012,Cat A (Cars up to 1600cc and 97kW),402,486,402,,,,,,,,,,,
October 2012 First Open Bidding Exercise,2012-10-03,2012,Cat A (Cars up to 1600cc and 97kW),401,506,399,,,,,,,,,,,
October 2012 Second Open Bidding Exercise,2012-10-17,2012,Cat A (Cars up to 1600cc and 97kW),393,509,390,,,,,,,,,,,
November 2012 First Open Bidding Exercise,2012-11-07,2012,Cat A (Cars up to 1600cc and 97kW),395,621,393,,,,,,,,,,,
November 2012 Second Open Bidding Exercise,2012-11-21,2012,Cat A (Cars up to 1600cc and 97kW),396,540,393,,,,,,,,,,,
December 2012 First Open Bidding Exercise,2012-12-05,2012,Cat A (Cars up to 1600cc and 97kW),395,482,378,,,,,,,,,,,
December 2012 Second Open Bidding Exercise,2012-12-19,2012,Cat A (Cars up to 1600cc and 97kW),395,499,378,,,,,,,,,,,
January 2013 First Open Bidding Exercise,2013-01-09,2013,Cat A (Cars up to 1600cc and 97kW),410,555,409,,,,,,,,,,,
January 2013 Second Open Bidding Exercise,2013-01-23,2013,Cat A (Cars up to 1600cc and 97kW),409,489,409,,,,,,,,,,,
February 2013 First Open Bidding Exercise,2013-02-06,2013,Cat A (Cars up to 1600cc and 97kW),335,418,333,,,,,,,,,,,
February 2013 Second Open Bidding Exercise,2013-02-20,2013,Cat A (Cars up to 1600cc and 97kW),333,427,329,,,,,,,,,,,
March 2013 First Open Bidding Exercise,2013-03-13,2013,Cat A (Cars up to 1600cc and 97kW),336,1180,329,,,,,,,,,,,
March 2013 Second Open Bidding Exercise,2013-03-27,2013,Cat A (Cars up to 1600cc and 97kW),337,923,337,,,,,,,,,,,
April 2013 First Open Bidding Exercise,2013-04-10,2013,Cat A (Cars up to 1600cc and 97kW),341,966,339,,,,,,,,,,,
April 2013 Second Open Bidding Exercise,2013-04-24,2013,Cat A (Cars up to 1600cc and 97kW),333,993,333,,,,,,,,,,,
May 2013 First Open Bidding Exercise,2013-05-08,2013,Cat A (Cars up to 1600cc and 97kW),336,912,329,,,,,,,,,,,
May 2013 Second Open Bidding Exercise,2013-05-22,2013,Cat A (Cars up to 1600cc and 97kW),333,888,324,,,,,,,,,,,
June 2013 First Open Bidding Exercise,2013-06-05,2013,Cat A (Cars up to 1600cc and 97kW),341,855,336,,,,,,,,,,,
June 2013 Second Open Bidding Exercise,2013-06-19,2013,Cat A (Cars up to 1600cc and 97kW),342,788,341,,,,,,,,,,,
July 2013 First Open Bidding Exercise,2013-07-03,2013,Cat A (Cars up to 1600cc and 97kW),338,716,328,,,,,,,,,,,
July 2013 Second Open Bidding Exercise,2013-07-17,2013,Cat A (Cars up to 1600cc and 97kW),334,621,332,,,,,,,,,,,
August 2013 First Open Bidding Exercise,2013-08-07,2013,Cat A (Cars up to 1600cc and 97kW),373,754,371,,,,,,,,,,,
August 2013 Second Open Bidding Exercise,2013-08-21,2013,Cat A (Cars up to 1600cc and 97kW),366,596,360,,,,,,,,,,,
September 2013 First Open Bidding Exercise,2013-09-04,2013,Cat A (Cars up to 1600cc and 97kW),366,609,365,,,,,,,,,,,
September 2013 Second Open Bidding Exercise,2013-09-18,2013,Cat A (Cars up to 1600cc and 97kW),370,654,361,,,,,,,,,,,
October 2013 First Open Bidding Exercise,2013-10-09,2013,Cat A (Cars up to 1600cc and 97kW),365,615,361,,,,,,,,,,,
October 2013 Second Open Bidding Exercise,2013-10-23,2013,Cat A (Cars up to 1600cc and 97kW),373,596,373,,,,,,,,,,,
November 2013 First Open Bidding Exercise,2013-11-06,2013,Cat A (Cars up to 1600cc and 97kW),368,590,368,,,,,,,,,,,
November 2013 Second Open Bidding Exercise,2013-11-20,2013,Cat A (Cars up to 1600cc and 97kW),364,650,361,,,,,,,,,,,
December 2013 First Open Bidding Exercise,2013-12-04,2013,Cat A (Cars up to 1600cc and 97kW),364,591,364,,,,,,,,,,,
December 2013 Second Open Bidding Exercise,2013-12-18,2013,Cat A (Cars up to 1600cc and 97kW),367,574,363,,,,,,,,,,,
January 2014 First Open Bidding Exercise,2014-01-08,2014,Cat A (Cars up to 1600cc and 97kW),364,623,361,,,,,,,,,,,
January 2014 Second Open Bidding Exercise,2014-01-22,2014,Cat A (Cars up to 1600cc and 97kW),368,724,364,,,,,,,,,,,
February 2014 First Open Bidding Exercise,2014-02-05,2014,Cat A (Cars up to 1600cc and 97kW),362,719,356,,,,,,,,,,,
February 2014 Second Open Bidding Exercise,2014-02-19,2014,Cat A (Cars up to 1600cc and 97kW),362,700,358,,,,,,,,,,,
March 2014 First Open Bidding Exercise,2014-03-05,2014,Cat A (Cars up to 1600cc and 97kW),365,615,356,,,,,,,,,,,
March 2014 Second Open Bidding Exercise,2014-03-19,2014,Cat A (Cars up to 1600cc and 97kW),362,577,360,,,,,,,,,,,
April 2014 First Open Bidding Exercise,2014-04-09,2014,Cat A (Cars up to 1600cc and 97kW),367,537,360,,,,,,,,,,,
April 2014 Second Open Bidding Exercise,2014-04-23,2014,Cat A (Cars up to 1600cc and 97kW),361,513,357,,,,,,,,,,,
May 2014 First Open Bidding Exercise,2014-05-07,2014,Cat A (Cars up to 1600cc and 97kW),513,676,512,,,,,,,,,,,
May 2014 Second Open Bidding Exercise,2014-05-21,2014,Cat A (Cars up to 1600cc and 97kW),509,997,506,,,,,,,,,,,
June 2014 First Open Bidding Exercise,2014-06-04,2014,Cat A (Cars up to 1600cc and 97kW),507,1040,499,,,,,,,,,,,
June 2014 Second Open Bidding Exercise,2014-06-18,2014,Cat A (Cars up to 1600cc and 97kW),509,1040,506,,,,,,,,,,,
July 2014 First Open Bidding Exercise,2014-07-09,2014,Cat A (Cars up to 1600cc and 97kW),513,1075,511,,,,,,,,,,,
July 2014 Second Open Bidding Exercise,2014-07-23,2014,Cat A (Cars up to 1600cc and 97kW),509,1190,505,,,,,,,,,,,
August 2014 First Open Bidding Exercise,2014-08-06,2014,Cat A (Cars up to 1600cc and 97kW),574,1086,574,,,,,,,,,,,
August 2014 Second Open Bidding Exercise,2014-08-20,2014,Cat A (Cars up to 1600cc and 97kW),575,994,574,,,,,,,,,,,
September 2014 First Open Bidding Exercise,2014-09-03,2014,Cat A (Cars up to 1600cc and 97kW),572,813,568,,,,,,,,,,,
September 2014 Second Open Bidding Exercise,2014-09-17,2014,Cat A (Cars up to 1600cc and 97kW),573,792,573,,,,,,,,,,,
October 2014 First Open Bidding Exercise,2014-10-09,2014,Cat A (Cars up to 1600cc and 97kW),575,1097,570,,,,,,,,,,,
