Bidding Exercise,Announcement Date,Year,Category,Quota,Total Bids Received,Number of Successful Bids,Unnamed: 8,Unnamed: 9,Unnamed: 10,Unnamed: 11,Unnamed: 12,Unnamed: 13,Unnamed: 14,Unnamed: 15,Unnamed: 16,Unnamed: 17,Unnamed: 18
October 2014 Second Open Bidding Exercise,2014-10-23,2014,Cat A (Cars up to 1600cc and 97kW),572,1092,569,,,,,,,,,,,
November 2014 First Open Bidding Exercise,2014-11-05,2014,Cat A (Cars up to 1600cc and 97kW),703,1196,692,,,,,,,,,,,
November 2014 Second Open Bidding Exercise,2014-11-19,2014,Cat A (Cars up to 1600cc and 97kW),701,1144,694,,,,,,,,,,,
December 2014 First Open Bidding Exercise,2014-12-03,2014,Cat A (Cars up to 1600cc and 97kW),709,996,703,,,,,,,,,,,
December 2014 Second Open Bidding Exercise,2014-12-17,2014,Cat A (Cars up to 1600cc and 97kW),705,868,699,,,,,,,,,,,
January 2015 First Open Bidding Exercise,2015-01-07,2015,Cat A (Cars up to 1600cc and 97kW),704,940,698,,,,,,,,,,,
January 2015 Second Open Bidding Exercise,2015-01-21,2015,Cat A (Cars up to 1600cc and 97kW),705,1068,703,,,,,,,,,,,
February 2015 First Open Bidding Exercise,2015-02-04,2015,Cat A (Cars up to 1600cc and 97kW),992,1295,991,,,,,,,,,,,
February 2015 Second Open Bidding Exercise,2015-02-17,2015,Cat A (Cars up to 1600cc and 97kW),988,1294,988,,,,,,,,,,,
March 2015 First Open Bidding Exercise,2015-03-04,2015,Cat A (Cars up to 1600cc and 97kW),987,2120,986,,,,,,,,,,,
March 2015 Second Open Bidding Exercise,2015-03-18,2015,Cat A (Cars up to 1600cc and 97kW),987,2251,987,,,,,,,,,,,
April 2015 First Open Bidding Exercise,2015-04-08,2015,Cat A (Cars up to 1600cc and 97kW),988,2340,970,,,,,,,,,,,
April 2015 Second Open Bidding Exercise,2015-04-22,2015,Cat A (Cars up to 1600cc and 97kW),987,2055,979,,,,,,,,,,,
May 2015 First Open Bidding Exercise,2015-05-06,2015,Cat A (Cars up to 1600cc and 97kW),1444,2891,1438,,,,,,,,,,,
May 2015 Second Open Bidding Exercise,2015-05-20,2015,Cat A (Cars up to 1600cc and 97kW),1434,2351,1431,,,,,,,,,,,
June 2015 First Open Bidding Exercise,2015-06-04,2015,Cat A (Cars up to 1600cc and 97kW),1432,1943,1393,,,,,,,,,,,
June 2015 Second Open Bidding Exercise,2015-06-17,2015,Cat A (Cars up to 1600cc and 97kW),1429,1766,1421,,,,,,,,,,,
July 2015 First Open Bidding Exercise,2015-07-08,2015,Cat A (Cars up to 1600cc and 97kW),1466,1891,1464,,,,,,,,,,,
July 2015 Second Open Bidding Exercise,2015-07-22,2015,Cat A (Cars up to 1600cc and 97kW),1435,1966,1365,,,,,,,,,,,
August 2015 First Open Bidding Exercise,2015-08-05,2015,Cat A (Cars up to 1600cc and 97kW),1688,2446,1687,,,,,,,,,,,
August 2015 Second Open Bidding Exercise,2015-08-19,2015,Cat A (Cars up to 1600cc and 97kW),1756,2597,1756,,,,,,,,,,,
September 2015 First Open Bidding Exercise,2015-09-09,2015,Cat A (Cars up to 1600cc and 97kW),1688,2553,1688,,,,,,,,,,,
September 2015 Second Open Bidding Exercise,2015-09-23,2015,Cat A (Cars up to 1600cc and 97kW),1687,2276,1684,,,,,,,,,,,
October 2015 First Open Bidding Exercise,2015-10-07,2015,Cat A (Cars up to 1600cc and 97kW),1687,2210,1679,,,,,,,,,,,
October 2015 Second Open Bidding Exercise,2015-10-21,2015,Cat A (Cars up to 1600cc and 97kW),1690,2229,1684,,,,,,,,,,,
November 2015 First Open Bidding Exercise,2015-11-04,2015,Cat A (Cars up to 1600cc and 97kW),1664,2009,1623,,,,,,,,,,,
November 2015 Second Open Bidding Exercise,2015-11-18,2015,Cat A (Cars up to 1600cc and 97kW),1662,2140,1650,,,,,,,,,,,
December 2015 First Open Bidding Exercise,2015-12-09,2015,Cat A (Cars up to 1600cc and 97kW),1698,2132,1696,,,,,,,,,,,
December 2015 Second Open Bidding Exercise,2015-12-23,2015,Cat A (Cars up to 1600cc and 97kW),1669,1978,1667,,,,,,,,,,,
January 2016 First Open Bidding Exercise,2016-01-06,2016,Cat A (Cars up to 1600cc and 97kW),1659,2013,1649,,,,,,,,,,,
January 2016 Second Open Bidding Exercise,2016-01-20,2016,Cat A (Cars up to 1600cc and 97kW),1659,3437,1638,,,,,,,,,,,
February 2016 First Open Bidding Exercise,2016-02-03,2016,Cat A (Cars up to 1600cc and 97kW),2038,2972,2033,,,,,,,,,,,
February 2016 Second Open Bidding Exercise,2016-02-17,2016,Cat A (Cars up to 1600cc and 97kW),2049,2965,2025,,,,,,,,,,,
March 2016 First Open Bidding Exercise,2016-03-09,2016,Cat A (Cars up to 1600cc and 97kW),2033,3518,1957,,,,,,,,,,,
March 2016 Second Open Bidding Exercise,2016-03-23,2016,Cat A (Cars up to 1600cc and 97kW),2053,3836,2020,,,,,,,,,,,
April 2016 First Open Bidding Exercise,2016-04-06,2016,Cat A (Cars up to 1600cc and 97kW),2105,3719,2103,,,,,,,,,,,
April 2016 Second Open Bidding Exercise,2016-04-20,2016,Cat A (Cars up to 1600cc and 97kW),2062,3327,2061,,,,,,,,,,,
May 2016 First Open Bidding Exercise,2016-05-05,2016,Cat A (Cars up to 1600cc and 97kW),2218,3446,2217,,,,,,,,,,,
May 2016 Second Open Bidding Exercise,2016-05-18,2016,Cat A (Cars up to 1600cc and 97kW),2217,3227,2182,,,,,,,,,,,
June 2016 First Open Bidding Exercise,2016-06-08,2016,Cat A (Cars up to 1600cc and 97kW),2218,4545,2213,,,,,,,,,,,
June 2016 Second Open Bidding Exercise,2016-06-22,2016,Cat A (Cars up to 1600cc and 97kW),2252,3957,2197,,,,,,,,,,,
July 2016 First Open Bidding Exercise,2016-07-07,2016,Cat A (Cars up to 1600cc and 97kW),2222,3194,2212,,,,,,,,,,,
July 2016 Second Open Bidding Exercise,2016-07-20,2016,Cat A (Cars up to 1600cc and 97kW),2272,3195,2246,,,,,,,,,,,
August 2016 First Open Bidding Exercise,2016-08-03,2016,Cat A (Cars up to 1600cc and 97kW),2018,2712,1959,,,,,,,,,,,
August 2016 Second Open Bidding Exercise,2016-08-17,2016,Cat A (Cars up to 1600cc and 97kW),2034,2803,2034,,,,,,,,,,,
September 2016 First Open Bidding Exercise,2016-09-07,2016,Cat A (Cars up to 1600cc and 97kW),2067,2739,2011,,,,,,,,,,,
September 2016 Second Open Bidding Exercise,2016-09-21,2016,Cat A (Cars up to 1600cc and 97kW),2008,2610,1993,,,,,,,,,,,
October 2016 First Open Bidding Exercise,2016-10-05,2016,Cat A (Cars up to 1600cc and 97kW),2064,2938,1979,,,,,,,,,,,
October 2016 Second Open Bidding Exercise,2016-10-19,2016,Cat A (Cars up to 1600cc and 97kW),2023,2584,2021,,,,,,,,,,,
November 2016 First Open Bidding Exercise,2016-11-09,2016,Cat A (Cars up to 1600cc and 97kW),1929,2800,1929,,,,,,,,,,,
November 2016 Second Open Bidding Exercise,2016-11-23,2016,Cat A (Cars up to 1600cc and 97kW),1846,2536,1846,,,,,,,,,,,
December 2016 First Open Bidding Exercise,2016-12-07,2016,Cat A (Cars up to 1600cc and 97kW),1844,2335,1812,,,,,,,,,,,
December 2016 Second Open Bidding Exercise,2016-12-21,2016,Cat A (Cars up to 1600cc and 97kW),1844,2554,1843,,,,,,,,,,,
January 2017 First Open Bidding Exercise,2017-01-05,2017,Cat A (Cars up to 1600cc and 97kW),1877,2260,1870,,,,,,,,,,,
January 2017 Second Open Bidding Exercise,2017-01-18,2017,Cat A (Cars up to 1600cc and 97kW),1846,2437,1766,,,,,,,,,,,
February 2017 First Open Bidding Exercise,2017-02-08,2017,Cat A (Cars up to 1600cc and 97kW),2060,2691,2051,,,,,,,,,,,
February 2017 Second Open Bidding Exercise,2017-02-24,2017,Cat A (Cars up to 1600cc and 97kW),2133,2926,2089,,,,,,,,,,,
March 2017 First Open Bidding Exercise,2017-03-15,2017,Cat A (Cars up to 1600cc and 97kW),2061,3190,2045,,,,,,,,,,,
March 2017 Second Open Bidding Exercise,2017-03-29,2017,Cat A (Cars up to 1600cc and 97kW),2096,2961,2096,,,,,,,,,,,
April 2017 First Open Bidding Exercise,2017-04-12,2017,Cat A (Cars up to 1600cc and 97kW),2068,2486,2061,,,,,,,,,,,
April 2017 Second Open Bidding Exercise,2017-04-26,2017,Cat A (Cars up to 1600cc and 97kW),2052,2442,2030,,,,,,,,,,,
May 2017 First Open Bidding Exercise,2017-05-11,2017,Cat A (Cars up to 1600cc and 97kW),1905,2240,1905,,,,,,,,,,,
May 2017 Second Open Bidding Exercise,2017-05-24,2017,Cat A (Cars up to 1600cc and 97kW),1920,2601,1913,,,,,,,,,,,
June 2017 First Open Bidding Exercise,2017-06-07,2017,Cat A (Cars up to 1600cc and 97kW),1898,2245,1893,,,,,,,,,,,
June 2017 Second Open Bidding Exercise,2017-06-21,2017,Cat A (Cars up to 1600cc and 97kW),1906,2302,1898,,,,,,,,,,,
July 2017 First Open Bidding Exercise,2017-07-05,2017,Cat A (Cars up to 1600cc and 97kW),1904,2296,1902,,,,,,,,,,,
July 2017 Second Open Bidding Exercise,2017-07-19,2017,Cat A (Cars up to 1600cc and 97kW),1907,2389,1905,,,,,,,,,,,
August 2017 First Open Bidding Exercise,2017-08-10,2017,Cat A (Cars up to 1600cc and 97kW),1817,2403,1812,,,,,,,,,,,
August 2017 Second Open Bidding Exercise,2017-08-23,2017,Cat A (Cars up to 1600cc and 97kW),1817,2148,1817,,,,,,,,,,,
September 2017 First Open Bidding Exercise,2017-09-06,2017,Cat A (Cars up to 1600cc and 97kW),1820,2195,1806,,,,,,,,,,,
September 2017 Second Open Bidding Exercise,2017-09-20,2017,Cat A (Cars up to 1600cc and 97kW),1815,3469,1815,,,,,,,,,,,
October 2017 First Open Bidding Exercise,2017-10-04,2017,Cat A (Cars up to 1600cc and 97kW),1829,2808,1827,,,,,,,,,,,
October 2017 Second Open Bidding Exercise,2017-10-19,2017,Cat A (Cars up to 1600cc and 97kW),1815,2391,1809,,,,,,,,,,,
November 2017 First Open Bidding Exercise,2017-11-08,2017,Cat A (Cars up to 1600cc and 97kW),1683,3430,1683,,,,,,,,,,,
November 2017 Second Open Bidding Exercise,2017-11-22,2017,Cat A (Cars up to 1600cc and 97kW),1686,2721,1679,,,,,,,,,,,
December 2017 First Open Bidding Exercise,2017-12-06,2017,Cat A (Cars up to 1600cc and 97kW),1680,2158,1667,,,,,,,,,,,
December 2017 Second Open Bidding Exercise,2017-12-20,2017,Cat A (Cars up to 1600cc and 97kW),1687,1970,1654,,,,,,,,,,,
January 2018 First Open Bidding Exercise,2018-01-04,2018,Cat A (Cars up to 1600cc and 97kW),1693,2264,1693,,,,,,,,,,,
January 2018 Second Open Bidding Exercise,2018-01-17,2018,Cat A (Cars up to 1600cc and 97kW),1713,1938,1708,,,,,,,,,,,
February 2018 First Open Bidding Exercise,2018-02-07,2018,Cat A (Cars up to 1600cc and 97kW),1557,2389,1534,,,,,,,,,,,
February 2018 Second Open Bidding Exercise,2018-02-21,2018,Cat A (Cars up to 1600cc and 97kW),1562,2073,1561,,,,,,,,,,,
March 2018 First Open Bidding Exercise,2018-03-07,2018,Cat A (Cars up to 1600cc and 97kW),1580,2405,1572,,,,,,,,,,,
March 2018 Second Open Bidding Exercise,2018-03-21,2018,Cat A (Cars up to 1600cc and 97kW),1559,2117,1551,,,,,,,,,,,
April 2018 First Open Bidding Exercise,2018-04-04,2018,Cat A (Cars up to 1600cc and 97kW),1566,1888,1564,,,,,,,,,,,
April 2018 Second Open Bidding Exercise,2018-04-18,2018,Cat A (Cars up to 1600cc and 97kW),1566,2027,1566,,,,,,,,,,,
May 2018 First Open Bidding Exercise,2018-05-09,2018,Cat A (Cars up to 1600cc and 97kW),1435,1836,1428,,,,,,,,,,,
May 2018 Second Open Bidding Exercise,2018-05-23,2018,Cat A (Cars up to 1600cc and 97kW),1434,1805,1422,,,,,,,,,,,
June 2018 First Open Bidding Exercise,2018-06-06,2018,Cat A (Cars up to 1600cc and 97kW),1441,1696,1440,,,,,,,,,,,
June 2018 Second Open Bidding Exercise,2018-06-20,2018,Cat A (Cars up to 1600cc and 97kW),1446,1818,1437,,,,,,,,,,,
July 2018 First Open Bidding Exercise,2018-07-04,2018,Cat A (Cars up to 1600cc and 97kW),1435,1626,1427,,,,,,,,,,,
July 2018 Second Open Bidding Exercise,2018-07-18,2018,Cat A (Cars up to 1600cc and 97kW),1443,3100,1412,,,,,,,,,,,
August 2018 First Open Bidding Exercise,2018-08-08,2018,Cat A (Cars up to 1600cc and 97kW),1672,3633,1672,,,,,,,,,,,
August 2018 Second Open Bidding Exercise,2018-08-23,2018,Cat A (Cars up to 1600cc and 97kW),1695,2948,1695,,,,,,,,,,,
September 2018 First Open Bidding Exercise,2018-09-05,2018,Cat A (Cars up to 1600cc and 97kW),1664,2488,1661,,,,,,,,,,,
September 2018 Second Open Bidding Exercise,2018-09-19,2018,Cat A (Cars up to 1600cc and 97kW),1664,2059,1655,,,,,,,,,,,
October 2018 First Open Bidding Exercise,2018-10-03,2018,Cat A (Cars up to 1600cc and 97kW),1668,2059,1665,,,,,,,,,,,
October 2018 Second Open Bidding Exercise,2018-10-17,2018,Cat A (Cars up to 1600cc and 97kW),1674,1811,1672,,,,,,,,,,,
November 2018 First Open Bidding Exercise,2018-11-08,2018,Cat A (Cars up to 1600cc and 97kW),1819,2849,1757,,,,,,,,,,,
November 2018 Second Open Bidding Exercise,2018-11-21,2018,Cat A (Cars up to 1600cc and 97kW),1818,2231,1744,,,,,,,,,,,
December 2018 First Open Bidding Exercise,2018-12-05,2018,Cat A (Cars up to 1600cc and 97kW),1878,2177,1878,,,,,,,,,,,
December 2018 Second Open Bidding Exercise,2018-12-19,2018,Cat A (Cars up to 1600cc and 97kW),1890,2729,1887,,,,,,,,,,,
January 2019 First Open Bidding Exercise,2019-01-09,2019,Cat A (Cars up to 1600cc and 97kW),1815,2707,1804,,,,,,,,,,,
January 2019 Second Open Bidding Exercise,2019-01-23,2019,Cat A (Cars up to 1600cc and 97kW),1818,2864,1818,,,,,,,,,,,
February 2019 First Open Bidding Exercise,2019-02-08,2019,Cat A (Cars up to 1600cc and 97kW),1662,2371,1653,,,,,,,,,,,
February 2019 Second Open Bidding Exercise,2019-02-20,2019,Cat A (Cars up to 1600cc and 97kW),1650,2261,1650,,,,,,,,,,,
March 2019 First Open Bidding Exercise,2019-03-06,2019,Cat A (Cars up to 1600cc and 97kW),1659,2213,1653,,,,,,,,,,,
March 2019 Second Open Bidding Exercise,2019-03-20,2019,Cat A (Cars up to 1600cc and 97kW),1650,2204,1647,,,,,,,,,,,
April 2019 First Open Bidding Exercise,2019-04-03,2019,Cat A (Cars up to 1600cc and 97kW),1656,2338,1650,,,,,,,,,,,
April 2019 Second Open Bidding Exercise,2019-04-17,2019,Cat A (Cars up to 1600cc and 97kW),1653,2249,1603,,,,,,,,,,,
May 2019 First Open Bidding Exercise,2019-05-08,2019,Cat A (Cars up to 1600cc and 97kW),1431,1988,1431,,,,,,,,,,,
May 2019 Second Open Bidding Exercise,2019-05-23,2019,Cat A (Cars up to 1600cc and 97kW),1475,1799,1475,,,,,,,,,,,
June 2019 First Open Bidding Exercise,2019-06-06,2019,Cat A (Cars up to 1600cc and 97kW),1424,1902,1417,,,,,,,,,,,
June 2019 Second Open Bidding Exercise,2019-06-19,2019,Cat A (Cars up to 1600cc and 97kW),1424,1742,1225,,,,,,,,,,,
July 2019 First Open Bidding Exercise,2019-07-03,2019,Cat A (Cars up to 1600cc and 97kW),1431,1795,1428,,,,,,,,,,,
July 2019 Second Open Bidding Exercise,2019-07-17,2019,Cat A (Cars up to 1600cc and 97kW),1623,1902,1617,,,,,,,,,,,
August 2019 First Open Bidding Exercise,2019-08-07,2019,Cat A (Cars up to 1600cc and 97kW),1059,2023,1059,,,,,,,,,,,
August 2019 Second Open Bidding Exercise,2019-08-21,2019,Cat A (Cars up to 1600cc and 97kW),1062,1725,1062,,,,,,,,,,,
September 2019 First Open Bidding Exercise,2019-09-04,2019,Cat A (Cars up to 1600cc and 97kW),1056,1656,1056,,,,,,,,,,,
September 2019 Second Open Bidding Exercise,2019-09-18,2019,Cat A (Cars up to 1600cc and 97kW),1056,1453,1053,,,,,,,,,,,
October 2019 First Open Bidding Exercise,2019-10-09,2019,Cat A (Cars up to 1600cc and 97kW),1057,1659,1033,,,,,,,,,,,
October 2019 Second Open Bidding Exercise,2019-10-23,2019,Cat A (Cars up to 1600cc and 97kW),1060,1467,1056,,,,,,,,,,,
November 2019 First Open Bidding Exercise,2019-11-06,2019,Cat A (Cars up to 1600cc and 97kW),1043,1302,1031,,,,,,,,,,,
November 2019 Second Open Bidding Exercise,2019-11-20,2019,Cat A (Cars up to 1600cc and 97kW),1023,1468,1012,,,,,,,,,,,
December 2019 First Open Bidding Exercise,2019-12-04,2019,Cat A (Cars up to 1600cc and 97kW),1030,1386,1013,,,,,,,,,,,
December 2019 Second Open Bidding Exercise,2019-12-18,2019,Cat A (Cars up to 1600cc and 97kW),1029,1256,1013,,,,,,,,,,,
January 2020 First Open Bidding Exercise,2020-01-08,2020,Cat A (Cars up to 1600cc and 97kW),1035,1450,1026,,,,,,,,,,,
January 2020 Second Open Bidding Exercise,2020-01-22,2020,Cat A (Cars up to 1600cc and 97kW),1034,1390,1025,,,,,,,,,,,
February 2020 First Open Bidding Exercise,2020-02-05,2020,Cat A (Cars up to 1600cc and 97kW),982,1204,977,,,,,,,,,,,
February 2020 Second Open Bidding Exercise,2020-02-19,2020,Cat A (Cars up to 1600cc and 97kW),982,1564,973,,,,,,,,,,,
March 2020 First Open Bidding Exercise,2020-03-04,2020,Cat A (Cars up to 1600cc and 97kW),978,1436,973,,,,,,,,,,,
March 2020 Second Open Bidding Exercise,2020-03-18,2020,Cat A (Cars up to 1600cc and 97kW),982,1421,962,,,,,,,,,,,
July 2020 First Open Bidding Exercise,2020-07-08,2020,Cat A (Cars up to 1600cc and 97kW),1289,3061,1286,,,,,,,,,,,
July 2020 Second Open Bidding Exercise,2020-07-22,2020,Cat A (Cars up to 1600cc and 97kW),1304,2485,1290,,,,,,,,,,,
August 2020 First Open Bidding Exercise,2020-08-05,2020,Cat A (Cars up to 1600cc and 97kW),1022,2047,1007,,,,,,,,,,,
August 2020 Second Open Bidding Exercise,2020-08-19,2020,Cat A (Cars up to 1600cc and 97kW),1034,2099,1019,,,,,,,,,,,
September 2020 First Open Bidding Exercise,2020-09-09,2020,Cat A (Cars up to 1600cc and 97kW),1035,1737,1035,,,,,,,,,,,
September 2020 Second Open Bidding Exercise,2020-09-23,2020,Cat A (Cars up to 1600cc and 97kW),1034,1540,1031,,,,,,,,,,,
October 2020 First Open Bidding Exercise,2020-10-07,2020,Cat A (Cars up to 1600cc and 97kW),912,1272,907,,,,,,,,,,,
October 2020 Second Open Bidding Exercise,2020-10-21,2020,Cat A (Cars up to 1600cc and 97kW),916,1323,907,,,,,,,,,,,
November 2020 First Open Bidding Exercise,2020-11-04,2020,Cat A (Cars up to 1600cc and 97kW),967,1262,952,,,,,,,,,,,
November 2020 Second Open Bidding Exercise,2020-11-18,2020,Cat A (Cars up to 1600cc and 97kW),972,1361,966,,,,,,,,,,,
December 2020 First Open Bidding Exercise,2020-12-09,2020,Cat A (Cars up to 1600cc and 97kW),978,1620,978,,,,,,,,,,,
December 2020 Second Open Bidding Exercise,2020-12-23,2020,Cat A (Cars up to 1600cc and 97kW),969,1403,966,,,,,,,,,,,
January 2021 First Open Bidding Exercise,2021-01-06,2021,Cat A (Cars up to 1600cc and 97kW),963,1280,962,,,,,,,,,,,
January 2021 Second Open Bidding Exercise,2021-01-20,2021,Cat A (Cars up to 1600cc and 97kW),963,1280,962,,,,,,,,,,,
February 2021 First Open Bidding Exercise,2021-02-03,2021,Cat A (Cars up to 1600cc and 97kW),885,1098,881,,,,,,,,,,,
February 2021 Second Open Bidding Exercise,2021-02-17,2021,Cat A (Cars up to 1600cc and 97kW),903,1226,900,,,,,,,,,,,
March 2021 First Open Bidding Exercise,2021-03-03,2021,Cat A (Cars up to 1600cc and 97kW),887,1175,887,,,,,,,,,,,
March 2021 Second Open Bidding Exercise,2021-03-17,2021,Cat A (Cars up to 1600cc and 97kW),886,1186,879,,,,,,,,,,,
April 2021 First Open Bidding Exercise,2021-04-07,2021,Cat A (Cars up to 1600cc and 97kW),883,1212,880,,,,,,,,,,,
April 2021 Second Open Bidding Exercise,2021-04-21,2021,Cat A (Cars up to 1600cc and 97kW),890,1290,883,,,,,,,,,,,
May 2021 First Open Bidding Exercise,2021-05-05,2021,Cat A (Cars up to 1600cc and 97kW),832,1100,803,,,,,,,,,,,
May 2021 Second Open Bidding Exercise,2021-05-19,2021,Cat A (Cars up to 1600cc and 97kW),835,1209,834,,,,,,,,,,,
June 2021 First Open Bidding Exercise,2021-06-09,2021,Cat A (Cars up to 1600cc and 97kW),858,1439,820,,,,,,,,,,,
June 2021 Second Open Bidding Exercise,2021-06-23,2021,Cat A (Cars up to 1600cc and 97kW),830,1178,823,,,,,,,,,,,
July 2021 First Open Bidding Exercise,2021-07-07,2021,Cat A (Cars up to 1600cc and 97kW),867,1149,864,,,,,,,,,,,
July 2021 Second Open Bidding Exercise,2021-07-22,2021,Cat A (Cars up to 1600cc and 97kW),836,1240,832,,,,,,,,,,,
August 2021 First Open Bidding Exercise,2021-08-04,2021,Cat A (Cars up to 1600cc and 97kW),805,1021,804,,,,,,,,,,,
August 2021 Second Open Bidding Exercise,2021-08-18,2021,Cat A (Cars up to 1600cc and 97kW),806,1127,806,,,,,,,,,,,
September 2021 First Open Bidding Exercise,2021-09-08,2021,Cat A (Cars up to 1600cc and 97kW),804,1124,790,,,,,,,,,,,
September 2021 Second Open Bidding Exercise,2021-09-22,2021,Cat A (Cars up to 1600cc and 97kW),803,1040,795,,,,,,,,,,,
October 2021 First Open Bidding Exercise,2021-10-06,2021,Cat A (Cars up to 1600cc and 97kW),816,1077,812,,,,,,,,,,,
October 2021 Second Open Bidding Exercise,2021-10-20,2021,Cat A (Cars up to 1600cc and 97kW),811,1304,806,,,,,,,,,,,
November 2021 First Open Bidding Exercise,2021-11-03,2021,Cat A (Cars up to 1600cc and 97kW),536,834,531,,,,,,,,,,,
November 2021 Second Open Bidding Exercise,2021-11-17,2021,Cat A (Cars up to 1600cc and 97kW),537,706,535,,,,,,,,,,,
December 2021 First Open Bidding Exercise,2021-12-08,2021,Cat A (Cars up to 1600cc and 97kW),536,771,525,,,,,,,,,,,
December 2021 Second Open Bidding Exercise,2021-12-22,2021,Cat A (Cars up to 1600cc and 97kW),534,740,534,,,,,,,,,,,
January 2022 First Open Bidding Exercise,2022-01-05,2022,Cat A (Cars up to 1600cc and 97kW),543,760,533,,,,,,,,,,,
